(venv) root@54abc98375bd:/moheft/experiment/01_get_tasks_execution_time# ./E01_1_execute_workflow.sh 
Execution: 1
<< Matrix Multiplication >>
Local MatMul Computation done in 0.005460s
[WORKER][PID=1933] 0 x 3 x 3
[WORKER][PID=1933] 0 x 1 x 4
[WORKER][PID=1933] 0 x 4 x 4
[WORKER][PID=1933] 0 x 2 x 4
[WORKER][PID=1933] 4 x 4 x 4
[WORKER][PID=1933] 0 x 0 x 4
[WORKER][PID=1933] 1 x 0 x 4
[WORKER][PID=1933] 0 x 3 x 4
[WORKER][PID=1933] 1 x 1 x 0
[WORKER][PID=1933] 1 x 2 x 0
[WORKER][PID=1933] 1 x 3 x 0
[WORKER][PID=1933] 4 x 3 x 0
[WORKER][PID=1933] 1 x 4 x 0
[WORKER][PID=1933] 2 x 0 x 0
[WORKER][PID=1933] 2 x 1 x 0
[WORKER][PID=1933] 1 x 1 x 1
[WORKER][PID=1933] 1 x 2 x 1
[WORKER][PID=1933] 1 x 3 x 1
[WORKER][PID=1933] 4 x 3 x 1
[WORKER][PID=1933] 1 x 4 x 1
[WORKER][PID=1933] 2 x 0 x 1
m[WORKER][PID=1933] 2 x 1 x 1
[WORKER][PID=1933] 1 x 1 x 2
[WORKER][PID=1933] 1 x 2 x 2
[WORKER][PID=1933] 1 x 3 x 2
[WORKER][PID=1933] 4 x 3 x 2
[WORKER][PID=1933] 2 x 0 x 2
[WORKER][PID=1933] 1 x 4 x 2
[WORKER][PID=1933] 2 x 1 x 2
e[WORKER][PID=1933] 1 x 1 x 3
[WORKER][PID=1933] 1 x 2 x 3
[WORKER][PID=1933] 1 x 3 x 3
e[WORKER][PID=1933] 4 x 3 x 3
[WORKER][PID=1933] 2 x 0 x 3
[WORKER][PID=1933] 1 x 4 x 3
[WORKER][PID=1933] 2 x 1 x 3
[WORKER][PID=1933] 1 x 1 x 4
[WORKER][PID=1933] 1 x 2 x 4
[WORKER][PID=1933] 1 x 3 x 4
[WORKER][PID=1933] 4 x 3 x 4
[WORKER][PID=1933] 2 x 0 x 4
[WORKER][PID=1933] 1 x 4 x 4
[WORKER][PID=1933] 2 x 1 x 4
[WORKER][PID=1933] 2 x 2 x 0
[WORKER][PID=1933] 2 x 3 x 0
[WORKER][PID=1933] 2 x 4 x 0
[WORKER][PID=1933] 4 x 2 x 0
[WORKER][PID=1933] 3 x 0 x 0
[WORKER][PID=1933] 3 x 1 x 0
[WORKER][PID=1933] 3 x 2 x 0
[WORKER][PID=1933] 2 x 2 x 1
[WORKER][PID=1933] 2 x 3 x 1
[WORKER][PID=1933] 2 x 4 x 1
[WORKER][PID=1933] 4 x 2 x 1
[WORKER][PID=1933] 3 x 0 x 1
[WORKER][PID=1933] 3 x 1 x 1
[WORKER][PID=1933] 3 x 2 x 1
[WORKER][PID=1933] 2 x 2 x 2
[WORKER][PID=1933] 2 x 3 x 2
[WORKER][PID=1933] 2 x 4 x 2
[WORKER][PID=1933] 4 x 2 x 2
[WORKER][PID=1933] 3 x 0 x 2
[WORKER][PID=1933] 3 x 1 x 2
[WORKER][PID=1933] 3 x 2 x 2
[WORKER][PID=1933] 2 x 2 x 3
[WORKER][PID=1933] 2 x 3 x 3
[WORKER][PID=1933] 2 x 4 x 3
[WORKER][PID=1933] 4 x 2 x 3
[WORKER][PID=1933] 3 x 0 x 3
[WORKER][PID=1933] 3 x 1 x 3
[WORKER][PID=1933] 3 x 2 x 3
[WORKER][PID=1933] 2 x 2 x 4
[WORKER][PID=1933] 2 x 3 x 4
[WORKER][PID=1933] 2 x 4 x 4
[WORKER][PID=1933] 4 x 2 x 4
[WORKER][PID=1933] 3 x 0 x 4
[WORKER][PID=1933] 3 x 1 x 4
[WORKER][PID=1933] 3 x 2 x 4
[WORKER][PID=1933] 3 x 3 x 0
[WORKER][PID=1933] 3 x 4 x 0
[WORKER][PID=1933] 4 x 0 x 0
[WORKER][PID=1933] 4 x 1 x 0
[WORKER][PID=1933] 3 x 3 x 1
[WORKER][PID=1933] 3 x 4 x 1
[WORKER][PID=1933] 4 x 0 x 1
[WORKER][PID=1933] 4 x 1 x 1
[WORKER][PID=1933] 3 x 3 x 2
[WORKER][PID=1933] 3 x 4 x 2
[WORKER][PID=1933] 4 x 0 x 2
[WORKER][PID=1933] 4 x 1 x 2
[WORKER][PID=1933] 3 x 3 x 3
[WORKER][PID=1933] 3 x 4 x 3
[WORKER][PID=1933] 4 x 0 x 3
[WORKER][PID=1933] 4 x 1 x 3
[WORKER][PID=1933] 3 x 3 x 4
[WORKER][PID=1933] 3 x 4 x 4
[WORKER][PID=1933] 4 x 0 x 4
[WORKER][PID=1933] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 13.593571s
Non-Matching Block Outputs: 0
(venv) root@54abc98375bd:/moheft/experiment/01_get_tasks_execution_time#
